,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_0.5_b_0.75_g_10000,64.6426282051282,56.27058823529412,63.63892806770099,22.0,40.0,24.0,624.0,85.0,300.0,8.372039969834084,7.341176470588235
forest\w_0.75_b_0.75_g_25000,71.05139186295503,64.35652173913043,69.72852233676976,24.0,35.0,25.0,467.0,115.0,300.0,6.6948701238246,4.060869565217391
forest\w_0.75_b_1_g_25000,67.93434343434343,63.015957446808514,66.75191815856778,23.0,35.0,25.0,594.0,188.0,300.0,4.9183859875349185,3.1595744680851063
forest\w_0.25_b_0.25_g_10000,67.81801470588235,66.33333333333333,67.80987202925046,20.0,31.0,20.0,544.0,3.0,300.0,1.4846813725490193,181.33333333333334
forest\w_0.75_b_1.5_g_25000,63.50909090909091,63.68181818181818,63.55543237250554,21.0,35.0,24.0,660.0,242.0,300.0,-0.17272727272727195,2.727272727272727
forest\w_0.75_b_2_g_25000,62.972972972972975,63.876,63.21943231441048,20.0,35.0,24.0,666.0,250.0,300.0,-0.9030270270270222,2.664
forest\w_0.5_b_1_g_10000,63.51367781155015,65.21212121212122,63.73579920739762,21.0,43.0,24.0,658.0,99.0,300.0,-1.6984434005710654,6.646464646464646
forest\w_1_b_0.5_g_25000,53.95910780669145,55.96363636363636,54.29938271604938,31.0,31.0,31.0,269.0,55.0,300.0,-2.004528556944912,4.890909090909091
forest\w_0.5_b_1.5_g_10000,63.061654135338344,65.1923076923077,63.34980494148245,20.0,44.5,24.0,665.0,104.0,300.0,-2.1306535569693494,6.394230769230769
forest\w_0.5_b_2_g_10000,62.8188622754491,65.1923076923077,63.13860103626943,20.0,44.5,23.5,668.0,104.0,300.0,-2.373445416858594,6.423076923076923
forest\w_0.75_b_0.25_g_1000,129.61702127659575,132.0888888888889,130.30153846153846,52.0,76.0,68.0,235.0,90.0,300.0,-2.4718676122931527,2.611111111111111
forest\w_1.25_b_0.25_g_1000,129.61702127659575,132.0888888888889,130.30153846153846,52.0,76.0,68.0,235.0,90.0,300.0,-2.4718676122931527,2.611111111111111
forest\w_1.5_b_0.25_g_1000,129.61702127659575,132.0888888888889,130.30153846153846,52.0,76.0,68.0,235.0,90.0,300.0,-2.4718676122931527,2.611111111111111
forest\w_1_b_0.25_g_1000,129.114406779661,132.0888888888889,129.93558282208588,51.5,76.0,67.0,236.0,90.0,300.0,-2.9744821092278926,2.6222222222222222
forest\w_1_b_1_g_25000,68.71652173913043,72.645,69.73032258064516,24.0,34.0,26.0,575.0,200.0,300.0,-3.928478260869568,2.875
forest\w_0.25_b_0.25_g_2500,68.35,73.08,68.57523809523809,17.5,56.0,20.0,500.0,25.0,300.0,-4.730000000000004,20.0
forest\w_1_b_0.25_g_2500,133.0,137.98076923076923,134.0746887966805,53.0,70.0,65.0,189.0,52.0,300.0,-4.980769230769226,3.6346153846153846
forest\w_1.5_b_0.25_g_2500,133.0,137.98076923076923,134.0746887966805,53.0,70.0,65.0,189.0,52.0,300.0,-4.980769230769226,3.6346153846153846
forest\w_0.75_b_0.25_g_2500,133.0,137.98076923076923,134.0746887966805,53.0,70.0,65.0,189.0,52.0,300.0,-4.980769230769226,3.6346153846153846
forest\w_1.25_b_0.25_g_2500,133.0,137.98076923076923,134.0746887966805,53.0,70.0,65.0,189.0,52.0,300.0,-4.980769230769226,3.6346153846153846
forest\w_0.75_b_0.5_g_25000,50.63380281690141,55.945454545454545,51.49557522123894,28.5,31.0,30.0,284.0,55.0,300.0,-5.311651728553137,5.163636363636364
forest\w_0.25_b_0.5_g_2500,63.44732824427481,71.98039215686275,64.06373937677054,20.0,60.0,23.0,655.0,51.0,300.0,-8.533063912587942,12.843137254901961
forest\w_0.25_b_1.5_g_2500,62.8188622754491,73.90384615384616,63.61944444444445,20.0,64.0,22.5,668.0,52.0,300.0,-11.084983878397061,12.846153846153847
forest\w_0.25_b_0.75_g_2500,62.8188622754491,73.90384615384616,63.61944444444445,20.0,64.0,22.5,668.0,52.0,300.0,-11.084983878397061,12.846153846153847
forest\w_0.25_b_1_g_2500,62.8188622754491,73.90384615384616,63.61944444444445,20.0,64.0,22.5,668.0,52.0,300.0,-11.084983878397061,12.846153846153847
forest\w_0.25_b_2_g_2500,62.8188622754491,73.90384615384616,63.61944444444445,20.0,64.0,22.5,668.0,52.0,300.0,-11.084983878397061,12.846153846153847
forest\w_0.5_b_0.5_g_2500,79.3707627118644,90.5673076923077,81.39236111111111,27.0,68.5,35.5,472.0,104.0,300.0,-11.196544980443292,4.538461538461538
forest\w_1_b_0.5_g_10000,91.74858757062147,103.07142857142857,93.61792452830188,31.0,38.0,33.0,354.0,70.0,300.0,-11.322841000807102,5.057142857142857
forest\w_1.5_b_1.5_g_25000,64.31424148606811,76.86142322097378,67.98357064622125,22.0,35.0,24.0,646.0,267.0,300.0,-12.547181734905664,2.4194756554307117
forest\w_1.25_b_1.5_g_25000,63.82795698924731,76.86142322097378,67.61873638344227,21.0,35.0,24.0,651.0,267.0,300.0,-13.033466231726464,2.438202247191011
forest\w_1_b_1.5_g_25000,63.635528330781014,77.1390977443609,67.54406964091403,21.0,35.0,24.0,653.0,266.0,300.0,-13.503569413579882,2.454887218045113
forest\w_1_b_0.75_g_10000,74.5,88.47286821705427,77.25190839694656,27.0,44.0,30.0,526.0,129.0,300.0,-13.97286821705427,4.077519379844961
forest\w_1.25_b_0.75_g_10000,74.36242884250474,88.36923076923077,77.13394216133942,27.0,44.0,30.0,527.0,130.0,300.0,-14.006801926726027,4.053846153846154
forest\w_1.5_b_0.75_g_10000,74.36242884250474,88.36923076923077,77.13394216133942,27.0,44.0,30.0,527.0,130.0,300.0,-14.006801926726027,4.053846153846154
forest\w_1.5_b_2_g_25000,63.5531914893617,77.56272401433692,67.72465314834578,21.0,35.0,24.0,658.0,279.0,300.0,-14.00953252497522,2.3584229390681
forest\w_1.25_b_2_g_25000,62.98795180722892,77.56272401433692,67.30010604453871,20.0,35.0,24.0,664.0,279.0,300.0,-14.574772207108005,2.379928315412186
forest\w_1_b_2_g_25000,62.98795180722892,77.83093525179856,67.3683651804671,20.0,35.0,24.0,664.0,278.0,300.0,-14.842983444569647,2.3884892086330933
forest\w_1.5_b_1_g_25000,52.94295900178253,71.87939698492463,57.901315789473685,25.0,33.0,26.5,561.0,199.0,300.0,-18.936437983142092,2.819095477386935
forest\w_1.25_b_0.75_g_25000,53.93333333333333,74.19166666666666,58.31351351351351,26.0,34.0,27.0,435.0,120.0,300.0,-20.258333333333333,3.625
