,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_0.5_b_2_g_25000,106.80575539568345,40.102844996729885,43.00297153581483,46.5,18.0,19.0,278.0,6116.0,400.0,66.70291039895356,0.045454545454545456
forest\w_3_b_2_g_5000,107.14748201438849,40.46806900726392,43.16003485332559,47.0,20.0,21.0,278.0,6608.0,400.0,66.67941300712457,0.04207021791767555
forest\w_1_b_2_g_5000,107.14748201438849,40.49030596788852,43.18372093023256,47.0,20.0,21.0,278.0,6602.0,400.0,66.65717604649997,0.042108451984247196
forest\w_0.5_b_1_g_5000,108.4963503649635,41.88984846015969,44.736546560598974,47.5,21.0,22.0,274.0,6137.0,400.0,66.60650190480382,0.044647221769594264
forest\w_0.5_b_3_g_10000,106.0711743772242,39.57384803173635,42.30768105340161,47.0,19.0,19.0,281.0,6554.0,400.0,66.49732634548785,0.04287458040891059
forest\w_0.5_b_3_g_25000,106.38571428571429,39.96735953231569,42.85601118359739,47.0,18.0,19.0,280.0,6158.0,400.0,66.4183547533986,0.04546930821695356
forest\w_0.5_b_2_g_5000,107.14748201438849,40.78787401574803,43.57121303560652,47.0,20.0,20.0,278.0,6350.0,400.0,66.35960799864046,0.04377952755905512
forest\w_3_b_3_g_5000,106.0711743772242,39.84068299925761,42.49330102622577,47.0,20.0,20.0,281.0,6735.0,400.0,66.23049137796659,0.04172234595397179
forest\w_1_b_3_g_5000,106.0711743772242,39.878531073446325,42.53303839018125,47.0,20.0,20.0,281.0,6726.0,400.0,66.19264330377787,0.04177817424918228
forest\w_3_b_2_g_1000,107.73913043478261,41.886994641987336,44.71142191142191,47.0,21.0,22.0,276.0,6159.0,400.0,65.85213579279528,0.044812469556746226
forest\w_0.5_b_2_g_60000,108.00729927007299,42.26625943226734,45.35068493150685,47.0,19.0,20.0,274.0,5566.0,400.0,65.74103983780566,0.04922745238950772
forest\w_0.5_b_2_g_100000,108.41391941391942,42.743735138101336,45.86707317073171,47.0,19.0,20.0,273.0,5467.0,400.0,65.67018427581809,0.0499359795134443
forest\w_0.5_b_1_g_60000,108.6914498141264,43.107473177950425,46.21621145374449,48.0,20.0,20.0,269.0,5406.0,400.0,65.58397663617598,0.04975952645209027
forest\w_0.5_b_1_g_1000,108.76556776556777,43.20149889286323,46.11474609375,48.0,22.0,22.0,273.0,5871.0,400.0,65.56406887270454,0.04649974450689831
forest\w_0.5_b_1_g_100000,109.08955223880596,43.62061816811157,46.76838894869035,48.5,20.0,20.0,268.0,5306.0,400.0,65.46893407069439,0.050508857896720695
forest\w_1_b_2_g_1000,107.36823104693141,41.90172189733593,44.72065910150785,47.0,21.0,22.0,277.0,6156.0,400.0,65.46650914959548,0.04499675113710201
forest\w_1_b_1_g_1000,109.16176470588235,43.79032258064516,46.705245901639344,48.0,22.0,23.0,272.0,5828.0,400.0,65.3714421252372,0.04667124227865477
forest\w_0.5_b_2_g_1000,107.36101083032491,42.00016447368421,44.8481988359289,47.0,21.0,21.0,277.0,6080.0,400.0,65.3608463566407,0.04555921052631579
forest\w_0.5_b_3_g_5000,106.0711743772242,40.72414875254982,43.48376916140667,47.0,20.0,20.0,281.0,6373.0,400.0,65.34702562467437,0.044092264239761494
forest\w_3_b_1_g_1000,109.16176470588235,43.81971153846154,46.735236220472444,48.0,22.0,23.0,272.0,5824.0,400.0,65.3420531674208,0.046703296703296704
forest\w_0.5_b_3_g_100000,107.44565217391305,42.567066521265,45.66614745586708,47.0,19.0,20.0,276.0,5502.0,400.0,64.87858565264804,0.05016357688113413
forest\w_3_b_3_g_1000,106.0711743772242,41.35948234542259,44.13990825688074,47.0,20.0,21.0,281.0,6259.0,400.0,64.7116920318016,0.044895350694999205
forest\w_1_b_3_g_1000,106.0711743772242,41.379277262551966,44.16097934200459,47.0,20.0,21.0,281.0,6254.0,400.0,64.69189711467223,0.044931244003837544
forest\w_0.5_b_3_g_60000,106.80575539568345,42.13746871648195,45.19908038147139,46.5,19.0,19.0,278.0,5594.0,400.0,64.6682866792015,0.04969610296746514
forest\w_0.5_b_3_g_1000,106.0711743772242,41.752405806556844,44.571116656269496,47.0,20.0,21.0,281.0,6131.0,400.0,64.31876857066734,0.045832653726961346
forest\w_3_b_1_g_60000,74.35714285714286,33.418188458729,34.702358490566034,48.5,15.0,16.0,266.0,8214.0,400.0,40.93895439841386,0.03238373508643779
forest\w_3_b_1_g_25000,74.41791044776119,36.824086247699185,38.10363220726441,48.5,18.0,18.0,268.0,7606.0,400.0,37.593824200062,0.035235340520641596
forest\w_3_b_1_g_100000,69.89019607843137,32.46364567332309,33.646708813685386,47.0,15.0,15.0,255.0,7812.0,400.0,37.42655040510828,0.032642089093702
