	prize	Base_Mean	log2FC	StdErr	Wald_Stats	P_value	P_adj
PLAT	2.164500889660866	5945.69596938584	1.30129165565045	0.0411321425226013	-31.6368556521317	1.1499366457966895e-219	3.5474071245076986e-217
CCNA1	2.16104061392504	717.88341802733	-3.45936624395558	0.109434538608888	31.611283676345803	2.5836517591815887e-219	7.869345396130047e-217
DPP4	2.140203003643916	831.997640592556	3.12920597219891	0.0994696925084475	-31.458888564807502	3.1729110716738787e-217	9.543323275827094e-215
PERP	2.1356417419551876	1484.8755887545901	-2.23846995500339	0.0712318571116806	31.4251241757437	9.182884055901995e-217	2.7278834092976988e-214
EI24	2.109734012281835	1952.77712053911	-2.0583386967393	0.0658994875881245	31.2345174761302	3.623104844675738e-214	1.0631603508852194e-211
RECK	2.10532925022368	1437.13713940339	2.46913804073521	0.0791347934431168	-31.2016741726895	1.0111634140168394e-213	2.9313992853100185e-211
MPZL2	2.051694235134114	2043.47734449245	-1.83492637659544	0.059569054056742	30.8033492498907	2.363328271013409e-208	6.769810102038657e-206
CAMK2D	2.014762993586373	1634.30292767417	1.9579692469419199	0.0641411534752022	-30.5259438107688	1.1797441829664294e-204	3.3396475918280285e-202
TOP2A	2.0084445245136893	704.5388738618781	-3.4213973656879597	0.11225825300817299	30.4779138638375	5.113453104858708e-204	1.4306966117338395e-201
RASSF3	2.0054463124804305	1722.6018532663097	-1.99336188713811	0.0654529134077652	30.454899306309997	1.0317067741606594e-203	2.853440045960209e-201
GLT25D1	1.9982050958172743	3938.90171266971	-1.48715232857242	0.0489198300033214	30.3997852909843	5.528933519486848e-203	1.5117863448396896e-200
KIF1C	1.9916039761029054	3929.77532003406	1.4703910208276	0.0484487240689195	-30.3494271332292	2.5565875748574186e-202	6.911978677103277e-200
SAMD9	1.978077549199754	4582.0249332475105	1.42818860306881	0.0472185094863964	-30.2463719969871	5.823121703893818e-201	1.5568439382121492e-198
CCNY	1.97285737572603	1898.8061852583498	1.8018258090243602	0.0596506943622713	-30.2062839047856	1.958718824848649e-200	5.1791969630228774e-198
MAOA	1.9722745694945152	1442.3963212331303	2.22536370883677	0.0736839185280395	-30.201484303388902	2.264639903588509e-200	5.923017973928987e-198
MX1	1.963786995894164	12429.5066476789	-1.5691817099249097	0.0520692848115116	30.136417575261003	1.6160382529984894e-199	4.181194886413928e-197
STOM	1.9600561432504011	6249.27846193019	-1.31414167761535	0.0436482076059515	30.1075748511643	3.8563976194682287e-199	9.871557395706855e-197
LRRC8A	1.9589678618555728	2652.87170836395	1.8468798436687401	0.0613603591237734	-30.098908644639696	5.007324044339698e-199	1.2682761174200195e-196
STXBP5	1.956811485552417	2140.3005816447303	1.87836369087125	0.0624412874690038	-30.082078173094697	8.313635036764256e-199	2.083777981818979e-196
WNK1	1.9381208992335834	3262.73618830307	1.7752145916848099	0.0592954038623922	-29.93848554948	6.213697237804596e-197	1.5413812673819993e-194
SF3B3	1.9307596497599884	4733.19578340261	-1.3133434319738502	0.0439516700384986	29.881536488225603	3.419238360739409e-196	8.395276881235886e-194
SYT11	1.9229856086324841	1384.4280034539802	2.18984570619175	0.0734322711829311	-29.821298877390102	2.0689148121118093e-195	5.028507899902448e-193
ACTG1	1.9084713510419717	32205.2221314316	-1.06584179612029	0.0358762900497376	29.708807533963103	5.909261014158858e-194	1.4218863852268997e-191
STX3	1.8878177370133284	3995.3622662210705	-1.39287737697243	0.0471392507295813	29.5481441774032	6.937706930448988e-192	1.6528228134699395e-189
SDCBP	1.8730405692471472	4780.8089424276395	-1.53100405149085	0.0520173529431428	29.432563651678098	2.104803341707819e-190	4.9652723537424976e-188
TRIM22	1.8663742369221612	9762.63728186767	-1.08889137535948	0.0370622161857142	29.380093459689103	9.864652930937305e-190	2.304497852662269e-187
DAB2	1.8375571302012341	7643.725197189649	-1.5564418578567099	0.0533881765467131	29.153306191210103	7.585576572977676e-187	1.7550398413364292e-184
METTL7A	1.8374257547114539	672.124696875891	3.08808166535098	0.10593056467596801	-29.1519418856791	7.893727054016567e-187	1.8089415273690194e-184
NTN4	1.8265488929012943	1402.10599521756	-2.3220914948895897	0.0798911837227624	29.0656789233176	9.751801503008508e-186	2.2136589411829292e-183
UBA1	1.8232997426833908	3883.3102910933294	-1.36209889011271	0.0469048210009839	29.0396351812991	2.080069216871099e-185	4.677628551060978e-183
MAP1A	1.8067599388778515	798.33712383071	3.07098294440456	0.10623288038452901	-28.9080267172329	9.464510235612666e-184	2.1086578267528889e-181
TGFBR2	1.8019938897910361	13912.1986195793	1.24914939180897	0.0432684284686644	-28.869765693330496	2.862238350107399e-183	6.318456805530646e-181
YES1	1.800408581038718	3576.396437310779	-1.5898871882520902	0.0550957210004456	28.856817904955502	4.161049276006498e-183	9.102106152660757e-181
ZC3H7B	1.7943062009756314	2756.7603438928004	-1.7285982146342098	0.0600044608524261	28.807828452712897	1.711477360976059e-182	3.7100511945771183e-180
GAPDH	1.7918428847785206	31700.4426523927	1.02318453900326	0.035542241307868	-28.787845148548797	3.0450737983243385e-182	6.5420147977928765e-180
BACE2	1.784665743420541	2798.6107847627195	-1.56153247852492	0.0543517146518436	28.7301419748668	1.6038818727484296e-181	3.4152748338117386e-179
SARAF	1.7787739892970558	2250.9168678924602	-1.7056398850465602	0.0594659435030319	28.6826338668889	6.283103288389198e-181	1.3261757133791296e-178
FLNC	1.7597137309246624	3782.97581267206	2.1318404705855802	0.0747251397847937	-28.529093110099502	5.104968015646808e-179	1.0681368729781997e-176
ZNF106	1.7358873303238298	2480.01044768607	-1.63744874502684	0.0577867251241116	28.336070983603896	1.2427770778094294e-176	2.577905348814689e-174
MBD2	1.7350544891135573	1156.1277174357	2.15587438967066	0.0761013010796396	-28.3290082966459	1.5184665449663198e-176	3.122849744015339e-174
ASPM	1.731641251550168	615.621360025059	-3.3005417252527005	0.116622852718243	28.3009860273844	3.360664279031469e-176	6.852907108648738e-174
